Title,ReleaseYear,City,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Age of Adaline,2015,San Francisco,Montgomery/Green,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,37.800104,-122.40424,1,intersection,,Green St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Age of Adaline,2015,San Francisco,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Age of Adaline,2015,San Francisco,Plate Shots SF streets various,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.800606,-122.416631,0.9,street_center,,Filbert St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Leavenworth from Filbert & Francisco St,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.804143,-122.417763,0.93,intersection,,Francisco St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Chestnut St. from Larkin to Columbus,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.802504,-122.421664,0.9,street_center,,Chestnut St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Francisco St from Larkin to Polk,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.803921,-122.418196,0.9,street_center,,Francisco St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Broadway from Mason to Taylor,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.796745,-122.414268,0.9,street_center,,Broadway,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
Alcatraz,2012,San Francisco,Taylor St. from Broadway to Filbert,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,37.795221,-122.413003,0.9,street_center,,Taylor St,San Francisco,CA,San Francisco County,94108,US,TIGER/Line® dataset from the US Census Bureau
Ant-Man,2015,San Francisco,Broadway between Powell and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,37.798881,-122.398696,1,intersection,,Broadway,San Francisco,CA,San Francisco County,94111,US,TIGER/Line® dataset from the US Census Bureau
